Municipio;Provincia;Metros Cadrados por Ferrado (m2)
Rairiz de Veiga;Ourense;629
Ramirás;Ourense;629
Redondela;Pontevedra;69
Rianxo;A Coruña;484
Ribadavia;Ourense;629
Ribadeo;Lugo;612
Ribadumia;Pontevedra;629
Ribas de Sil;Lugo;465
Ribeira;A Coruña;484
Ribeira de Piquín;Lugo;514
Riós;Ourense;629
Riotorto;Lugo;504
Rodeiro;Pontevedra;536
Rois;A Coruña;424
A Rúa;Ourense;629
Rubiá;Ourense;629
Sada;A Coruña;436
Salceda de Caselas;Pontevedra;Dato non dispoñible
Salvaterra de Miño;Pontevedra;437
Samos;Lugo;559
San Amaro;Ourense;629
San Cibrao das Viñas;Ourense;629
San Cristovo de Cea;Ourense;629
San Sadurniño;A Coruña;509
San Xoán de Río;Ourense;629
Sandiás;Ourense;629
Santa Comba;A Coruña;528
Santiago de Compostela;A Coruña;626
Santiso;A Coruña;536
Sanxenxo;Pontevedra;629
Sarreaus;Ourense;629
Sarria;Lugo;629
O Saviñao;Lugo;559
Silleda;Pontevedra;536
Sober;Lugo;484
Sobrado;A Coruña;536
As Somozas;A Coruña;509
Soutomaior;Pontevedra;64
Taboada;Lugo;604
Taboadela;Ourense;629
Teo;A Coruña;639
Toén;Ourense;629
Tomiño;Pontevedra;629
Toques;A Coruña;536
Tordoia;A Coruña;639
Touro;A Coruña;536
Trabada;Lugo;638
Trasmiras;Ourense;629
Trazo;A Coruña;640
Triacastela;Lugo;430
Tui;Pontevedra;497
O Valadouro;Lugo;714
Valdoviño;A Coruña;509
Valga;Pontevedra;629
Vedra;A Coruña;639
A Veiga;Ourense;629
Verea;Ourense;629
Verín;Ourense;626
Viana do Bolo;Ourense;629
O Vicedo;Lugo;548
Vigo;Pontevedra;541
Vilaboa;Pontevedra;629
Vilagarcía de Arousa;Pontevedra;545
Vilalba;Lugo;546
Vilamarín;Ourense;629
Vilamartín de Valdeorras;Ourense;629
Vilanova de Arousa;Pontevedra;672
Vilar de Barrio;Ourense;629
Vilar de Santos;Ourense;629
Vilardevós;Ourense;629
Vilariño de Conso;Ourense;629
Vilasantar;A Coruña;536
Vimianzo;A Coruña;424
Viveiro;Lugo;548
Xermade;Lugo;525
Xinzo de Limia;Ourense;629
Xove;Lugo;725
Xunqueira de Ambía;Ourense;629
Xunqueira de Espadanedo;Ourense;629
Zas;A Coruña;424
